edad,sexo,salario
23,M,1593.1890976268212
44,M,5458.003513886243
64,F,3225.2792508789034
78,M,2838.897884293132
34,M,3365.6737017513565
45,F,2949.0216808672126
65,F,2594.0080775003335
29,F,682.3509884921232
46,M,4414.48554807582
51,F,3551.118333563966
50,F,1654.7178869356771
28,F,2835.570307224187
25,M,927.4417302649963
74,F,1682.337530936291
46,M,2884.7704088471246
74,F,1324.5546274740805
63,F,2606.727055041589
39,M,2560.714894992605
31,F,1463.276389940098
51,F,3036.3516083245104
57,F,1867.7614210744264
60,F,3279.0311021481043
76,M,3905.405508410461
23,M,2590.91325557934
22,M,775.1104673362897
36,F,3960.5619834493104
45,M,2685.8623125281033
62,M,4177.99957024319
48,F,1514.7200775097817
22,M,2835.9039521565096
28,M,1944.4015260507417
79,F,3370.147644632618
68,F,1666.6586401111972
51,M,1745.3178206826553
77,F,2980.6288435141296
66,M,2499.261974116694
67,F,1840.3260283638747
58,M,2240.285238910911
25,F,-153.3735433719644
23,M,1007.4616959439154
77,M,1562.0120050892926
49,M,1837.8317932228028
75,M,1828.7506597945526
40,F,2081.3835509866067
55,M,3483.079061386664
57,F,4548.07494396115
28,F,2244.8395731563523
67,F,1393.9191753612563
52,F,417.06371531576315
70,M,2977.360218826902
23,M,3635.7059753687445
78,F,1159.190162223028
40,M,1823.849484444785
65,F,1618.552393354977
65,F,1124.805234822925
71,F,1275.0336456672228
22,M,3643.5559736216255
44,M,1309.7156997148913
44,M,219.32000969460478
47,M,2029.7870987035492
67,F,1705.768894342348
24,M,1494.1239771660553
20,F,1759.4649109413422
36,F,3998.4532394765783
30,F,5318.981517851835
24,M,3053.9584182365966
33,M,-301.91504151703793
23,M,3046.153344333946
26,F,2426.199152067225
24,F,2184.305518633381
18,F,2783.9396996854184
58,F,1185.0295545272206
73,F,2769.0000541779996
33,F,3499.4655576437326
50,F,1610.8854423186474
79,M,2556.095445614929
61,M,1577.668608708294
45,M,2580.891121529388
76,F,2430.8578591735577
50,M,2645.1104010247145
39,F,2810.5896129174703
39,M,2136.473614100819
56,M,2870.8596061860862
52,F,3419.5418740471114
54,M,1277.2607280416653
55,M,3336.1269504516313
71,M,5671.8807047778755
54,F,4333.07589224157
33,F,2918.610760095046
24,F,1513.645078770169
20,F,2065.37493499672
53,F,2738.0527709458493
32,F,2369.8513004853585
70,M,2592.4231037815775
55,F,2337.7579158288654
75,F,817.7592522366499
60,F,2473.026741719646
58,F,2435.8848774328744
72,M,905.8718801859591
21,M,2329.8803918782355
